# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20 random Fock initial states
# C(t) = (4/L) Σ_k [⟨n_k n_{k+1}⟩ - ⟨n_k⟩⟨n_{k+1}⟩]  connected NN density correlator; T=∞ plateau = -1/(L-1) = -0.06666666666666667
# L=16  N=8  t_hop=1.0  V=1.0  tp=0.3  Vp=0.3  rng_seed=42
# ln(D) = 9.462654300590172  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 8.769507120030227 for thermalizing system)
time,chi_ent_mean,chi_ent_std,C_mean,C_std
0.0000,0.00000000,0.00000000,0.00000000,0.00000000
0.0050,0.00045095,0.00008124,-0.00005125,0.00001038
0.0100,0.00180374,0.00032496,-0.00020494,0.00004152
0.0150,0.00405826,0.00073119,-0.00046093,0.00009336
0.0200,0.00721429,0.00129996,-0.00081900,0.00016584
0.0250,0.01127151,0.00203131,-0.00127881,0.00025888
0.0300,0.01622956,0.00292531,-0.00183994,0.00037234
0.0350,0.02208795,0.00398203,-0.00250188,0.00050608
0.0400,0.02884612,0.00520156,-0.00326403,0.00065992
0.0450,0.03650340,0.00658399,-0.00412568,0.00083367
0.0500,0.04505906,0.00812943,-0.00508605,0.00102709
0.0550,0.05451226,0.00983801,-0.00614427,0.00123994
0.0600,0.06486207,0.01170985,-0.00729937,0.00147193
0.0650,0.07610745,0.01374509,-0.00855030,0.00172277
0.0700,0.08824729,0.01594389,-0.00989591,0.00199213
0.0750,0.10128034,0.01830639,-0.01133499,0.00227965
0.0800,0.11520529,0.02083276,-0.01286622,0.00258497
0.0850,0.13002070,0.02352317,-0.01448821,0.00290768
0.0900,0.14572503,0.02637780,-0.01619950,0.00324736
0.0950,0.16231662,0.02939681,-0.01799853,0.00360357
0.1000,0.17979371,0.03258038,-0.01988367,0.00397585
0.1050,0.19815441,0.03592870,-0.02185322,0.00436371
0.1100,0.21739670,0.03944193,-0.02390540,0.00476665
0.1150,0.23751847,0.04312025,-0.02603835,0.00518413
0.1200,0.25851745,0.04696383,-0.02825017,0.00561563
0.1250,0.28039125,0.05097282,-0.03053885,0.00606057
0.1300,0.30313732,0.05514739,-0.03290235,0.00651837
0.1350,0.32675299,0.05948765,-0.03533855,0.00698845
0.1400,0.35123543,0.06399375,-0.03784526,0.00747019
0.1450,0.37658166,0.06866579,-0.04042025,0.00796295
0.1500,0.40278855,0.07350386,-0.04306122,0.00846611
0.1550,0.42985278,0.07850803,-0.04576583,0.00897901
0.1600,0.45777086,0.08367832,-0.04853167,0.00950097
0.1650,0.48653915,0.08901477,-0.05135630,0.01003133
0.1700,0.51615378,0.09451734,-0.05423721,0.01056939
0.1750,0.54661073,0.10018598,-0.05717187,0.01111445
0.1800,0.57790573,0.10602060,-0.06015770,0.01166581
0.1850,0.61003435,0.11202104,-0.06319208,0.01222275
0.1900,0.64299189,0.11818713,-0.06627236,0.01278454
0.1950,0.67677346,0.12451861,-0.06939584,0.01335047
0.2000,0.71137391,0.13101519,-0.07255981,0.01391979
0.2050,0.74678786,0.13767650,-0.07576153,0.01449177
0.2100,0.78300965,0.14450210,-0.07899823,0.01506566
0.2150,0.82003336,0.15149148,-0.08226712,0.01564073
0.2200,0.85785279,0.15864406,-0.08556539,0.01621622
0.2250,0.89646144,0.16595916,-0.08889021,0.01679141
0.2300,0.93585252,0.17343600,-0.09223877,0.01736553
0.2350,0.97601891,0.18107370,-0.09560820,0.01793786
0.2400,1.01695315,0.18887130,-0.09899565,0.01850765
0.2450,1.05864744,0.19682768,-0.10239828,0.01907416
0.2500,1.10109363,0.20494162,-0.10581323,0.01963668
0.2550,1.14428318,0.21321177,-0.10923764,0.02019447
0.2600,1.18820716,0.22163664,-0.11266867,0.02074683
0.2650,1.23285624,0.23021456,-0.11610347,0.02129303
0.2700,1.27822064,0.23894373,-0.11953921,0.02183238
0.2750,1.32429017,0.24782217,-0.12297309,0.02236420
0.2800,1.37105416,0.25684772,-0.12640229,0.02288780
0.2850,1.41850146,0.26601802,-0.12982404,0.02340252
0.2900,1.46662042,0.27533052,-0.13323558,0.02390769
0.2950,1.51539887,0.28478244,-0.13663418,0.02440269
0.3000,1.56482412,0.29437080,-0.14001713,0.02488688
0.3050,1.61488289,0.30409235,-0.14338176,0.02535966
0.3100,1.66556134,0.31394362,-0.14672541,0.02582044
0.3150,1.71684503,0.32392085,-0.15004549,0.02626862
0.3200,1.76871888,0.33402003,-0.15333942,0.02670367
0.3250,1.82116717,0.34423684,-0.15660467,0.02712503
0.3300,1.87417352,0.35456668,-0.15983876,0.02753220
0.3350,1.92772086,0.36500461,-0.16303923,0.02792467
0.3400,1.98179139,0.37554539,-0.16620369,0.02830197
0.3450,2.03636660,0.38618342,-0.16932980,0.02866365
0.3500,2.09142722,0.39691276,-0.17241526,0.02900927
0.3550,2.14695319,0.40772710,-0.17545782,0.02933844
0.3600,2.20292367,0.41861976,-0.17845530,0.02965076
0.3650,2.25931701,0.42958365,-0.18140556,0.02994590
0.3700,2.31611071,0.44061130,-0.18430654,0.03022351
0.3750,2.37328143,0.45169484,-0.18715622,0.03048331
0.3800,2.43080498,0.46282597,-0.18995265,0.03072502
0.3850,2.48865627,0.47399596,-0.19269396,0.03094839
0.3900,2.54680934,0.48519565,-0.19537832,0.03115322
0.3950,2.60523733,0.49641546,-0.19800398,0.03133933
0.4000,2.66391248,0.50764537,-0.20056926,0.03150656
0.4050,2.72280613,0.51887489,-0.20307254,0.03165479
0.4100,2.78188872,0.53009313,-0.20551228,0.03178394
0.4150,2.84112980,0.54128874,-0.20788701,0.03189397
0.4200,2.90049804,0.55244996,-0.21019533,0.03198484
0.4250,2.95996121,0.56356460,-0.21243592,0.03205659
0.4300,3.01948629,0.57462005,-0.21460753,0.03210926
0.4350,3.07903938,0.58560335,-0.21670899,0.03214294
0.4400,3.13858583,0.59650112,-0.21873919,0.03215777
0.4450,3.19809023,0.60729966,-0.22069712,0.03215391
0.4500,3.25751645,0.61798494,-0.22258183,0.03213158
0.4550,3.31682771,0.62854263,-0.22439246,0.03209100
0.4600,3.37598665,0.63895814,-0.22612821,0.03203249
0.4650,3.43495536,0.64921667,-0.22778838,0.03195636
0.4700,3.49369549,0.65930323,-0.22937233,0.03186300
0.4750,3.55216829,0.66920271,-0.23087952,0.03175281
0.4800,3.61033476,0.67889989,-0.23230945,0.03162627
0.4850,3.66815567,0.68837954,-0.23366175,0.03148389
0.4900,3.72559171,0.69762646,-0.23493608,0.03132621
0.4950,3.78260359,0.70662551,-0.23613221,0.03115386
0.5000,3.83915216,0.71536172,-0.23724996,0.03096749
0.5050,3.89519849,0.72382033,-0.23828925,0.03076780
0.5100,3.95070405,0.73198685,-0.23925007,0.03055556
0.5150,4.00563079,0.73984714,-0.24013247,0.03033158
0.5200,4.05994131,0.74738748,-0.24093660,0.03009672
0.5250,4.11359895,0.75459462,-0.24166266,0.02985192
0.5300,4.16656797,0.76145587,-0.24231095,0.02959815
0.5350,4.21881363,0.76795917,-0.24288181,0.02933645
0.5400,4.27030237,0.77409314,-0.24337567,0.02906792
0.5450,4.32100191,0.77984714,-0.24379303,0.02879370
0.5500,4.37088136,0.78521136,-0.24413445,0.02851503
0.5550,4.41991139,0.79017683,-0.24440057,0.02823315
0.5600,4.46806429,0.79473552,-0.24459208,0.02794941
0.5650,4.51531410,0.79888037,-0.24470975,0.02766518
0.5700,4.56163671,0.80260534,-0.24475441,0.02738190
0.5750,4.60700992,0.80590541,-0.24472693,0.02710107
0.5800,4.65141355,0.80877669,-0.24462829,0.02682421
0.5850,4.69482948,0.81121637,-0.24445947,0.02655290
0.5900,4.73724174,0.81322278,-0.24422155,0.02628875
0.5950,4.77863648,0.81479539,-0.24391564,0.02603339
0.6000,4.81900208,0.81593485,-0.24354292,0.02578849
0.6050,4.85832912,0.81664292,-0.24310462,0.02555570
0.6100,4.89661040,0.81692256,-0.24260201,0.02533668
0.6150,4.93384091,0.81677781,-0.24203640,0.02513306
0.6200,4.97001784,0.81621389,-0.24140919,0.02494645
0.6250,5.00514055,0.81523705,-0.24072176,0.02477840
0.6300,5.03921047,0.81385466,-0.23997559,0.02463039
0.6350,5.07223112,0.81207510,-0.23917217,0.02450380
0.6400,5.10420802,0.80990772,-0.23831303,0.02439992
0.6450,5.13514858,0.80736285,-0.23739975,0.02431991
0.6500,5.16506209,0.80445168,-0.23643392,0.02426480
0.6550,5.19395958,0.80118629,-0.23541718,0.02423544
0.6600,5.22185374,0.79757952,-0.23435120,0.02423251
0.6650,5.24875884,0.79364493,-0.23323768,0.02425653
0.6700,5.27469060,0.78939678,-0.23207832,0.02430782
0.6750,5.29966612,0.78484993,-0.23087488,0.02438650
0.6800,5.32370373,0.78001979,-0.22962912,0.02449249
0.6850,5.34682293,0.77492222,-0.22834281,0.02462553
0.6900,5.36904425,0.76957354,-0.22701776,0.02478519
0.6950,5.39038915,0.76399041,-0.22565579,0.02497082
0.7000,5.41087991,0.75818975,-0.22425871,0.02518166
0.7050,5.43053955,0.75218873,-0.22282836,0.02541677
0.7100,5.44939169,0.74600469,-0.22136660,0.02567507
0.7150,5.46746049,0.73965503,-0.21987526,0.02595540
0.7200,5.48477053,0.73315722,-0.21835621,0.02625646
0.7250,5.50134673,0.72652871,-0.21681130,0.02657691
0.7300,5.51721426,0.71978684,-0.21524239,0.02691532
0.7350,5.53239845,0.71294886,-0.21365133,0.02727023
0.7400,5.54692475,0.70603181,-0.21203997,0.02764012
0.7450,5.56081862,0.69905250,-0.21041016,0.02802349
0.7500,5.57410546,0.69202748,-0.20876372,0.02841880
0.7550,5.58681059,0.68497293,-0.20710249,0.02882454
0.7600,5.59895916,0.67790471,-0.20542828,0.02923919
0.7650,5.61057610,0.67083824,-0.20374289,0.02966126
0.7700,5.62168610,0.66378851,-0.20204809,0.03008931
0.7750,5.63231353,0.65677004,-0.20034566,0.03052190
0.7800,5.64248243,0.64979681,-0.19863734,0.03095763
0.7850,5.65221648,0.64288231,-0.19692486,0.03139517
0.7900,5.66153896,0.63603942,-0.19520991,0.03183321
0.7950,5.67047270,0.62928046,-0.19349418,0.03227048
0.8000,5.67904013,0.62261714,-0.19177932,0.03270578
0.8050,5.68726319,0.61606054,-0.19006695,0.03313793
0.8100,5.69516335,0.60962111,-0.18835866,0.03356581
0.8150,5.70276160,0.60330865,-0.18665603,0.03398837
0.8200,5.71007844,0.59713227,-0.18496058,0.03440456
0.8250,5.71713384,0.59110046,-0.18327381,0.03481341
0.8300,5.72394731,0.58522098,-0.18159719,0.03521400
0.8350,5.73053781,0.57950095,-0.17993214,0.03560543
0.8400,5.73692382,0.57394679,-0.17828007,0.03598686
0.8450,5.74312329,0.56856425,-0.17664233,0.03635750
0.8500,5.74915369,0.56335841,-0.17502022,0.03671659
0.8550,5.75503197,0.55833366,-0.17341504,0.03706343
0.8600,5.76077459,0.55349375,-0.17182800,0.03739733
0.8650,5.76639751,0.54884175,-0.17026032,0.03771768
0.8700,5.77191621,0.54438011,-0.16871313,0.03802388
0.8750,5.77734570,0.54011063,-0.16718754,0.03831537
0.8800,5.78270049,0.53603451,-0.16568462,0.03859165
0.8850,5.78799464,0.53215233,-0.16420539,0.03885224
0.8900,5.79324173,0.52846410,-0.16275082,0.03909669
0.8950,5.79845492,0.52496927,-0.16132184,0.03932461
0.9000,5.80364690,0.52166672,-0.15991933,0.03953562
0.9050,5.80882990,0.51855482,-0.15854413,0.03972938
0.9100,5.81401575,0.51563144,-0.15719703,0.03990560
0.9150,5.81921583,0.51289396,-0.15587876,0.04006400
0.9200,5.82444112,0.51033933,-0.15459002,0.04020435
0.9250,5.82970216,0.50796404,-0.15333146,0.04032644
0.9300,5.83500909,0.50576418,-0.15210368,0.04043009
0.9350,5.84037165,0.50373550,-0.15090723,0.04051516
0.9400,5.84579917,0.50187334,-0.14974261,0.04058153
0.9450,5.85130062,0.50017276,-0.14861028,0.04062912
0.9500,5.85688453,0.49862851,-0.14751066,0.04065788
0.9550,5.86255909,0.49723506,-0.14644409,0.04066777
0.9600,5.86833209,0.49598665,-0.14541091,0.04065878
0.9650,5.87421095,0.49487731,-0.14441137,0.04063096
0.9700,5.88020273,0.49390088,-0.14344571,0.04058435
0.9750,5.88631411,0.49305101,-0.14251409,0.04051902
0.9800,5.89255142,0.49232126,-0.14161665,0.04043509
0.9850,5.89892062,0.49170506,-0.14075347,0.04033269
0.9900,5.90542732,0.49119575,-0.13992461,0.04021196
0.9950,5.91207680,0.49078662,-0.13913005,0.04007309
1.0000,5.91887397,0.49047093,-0.13836976,0.03991629
1.0050,5.92582340,0.49024193,-0.13764365,0.03974177
1.0100,5.93292934,0.49009286,-0.13695159,0.03954978
1.0150,5.94019568,0.49001702,-0.13629341,0.03934061
1.0200,5.94762599,0.49000776,-0.13566890,0.03911454
1.0250,5.95522353,0.49005849,-0.13507782,0.03887189
1.0300,5.96299121,0.49016273,-0.13451988,0.03861299
1.0350,5.97093164,0.49031411,-0.13399475,0.03833821
